,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
0,1,1129.0621434434659,0.16984267499999994,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.5,200,0.5
1,2,1129.0621434434659,0.26558910299999994,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.5,200,0.5
2,4,1129.0621434434659,0.4525103719999999,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.5,200,0.5
3,8,1100.9878629392676,0.8373148979999998,"[ 4 12 11 21 14 10  7 29 13 26 30  8 19 27 28 20  2 18  0 25 17 24 15 31
  6  5 23  1  9 22  3 16]",GA,200,0.5,200,0.5
4,16,1100.9878629392676,1.5970743839999997,"[ 4 12 11 21 14 10  7 29 13 26 30  8 19 27 28 20  2 18  0 25 17 24 15 31
  6  5 23  1  9 22  3 16]",GA,200,0.5,200,0.5
5,32,991.5493767853263,3.10005023,"[30  7 20 21 18 23 15  5 17  1 12 10 11  4 14 29 13 26  8 19 27  3 22 25
  0 24  9 28 31  6  2 16]",GA,200,0.5,200,0.5
6,64,859.461222500644,6.067183774,"[ 9  1  4 30 13 20 21 14 23 15  5 17 24 27  8 10 11  7 26  6 18 12 16 31
  2 25  0 19  3 22 29 28]",GA,200,0.5,200,0.5
7,128,757.564083369267,12.047949521,"[ 9  1  4 14 30  7 20 21 10 27 23 15  5 17 19 12 11 13 26  6  8 18 16 31
  2 25 24  0  3 22 28 29]",GA,200,0.5,200,0.5
8,256,698.0353645684872,24.059328188,"[ 9 29 23  1  4 14 30  7 20 21 10 27 15  5 17 19 12 11 13 26  6  8  2 16
 31 18 25  0 24  3 22 28]",GA,200,0.5,200,0.5
9,512,632.2635741642084,47.915195089,"[ 9 29 23  1  4 14 30  7 21 20 13 11 12 15  5 17 19 27 10 26  6  8 16  2
 31 18 25  0 24  3 22 28]",GA,200,0.5,200,0.5
10,1024,585.0921452208568,95.632982046,"[28  9 29  4  1 12 14 30  7 21 13 20 11 23 15  5 18 19 27 10 26  6 31  2
 16  8 25 17  0 24  3 22]",GA,200,0.5,200,0.5
11,2048,565.181271294755,190.953861533,"[28  9 29  4  1 12 14 10  7 21 13 20 11 23 15  5 19 27 18 30 26  6 31  2
 16  8 25 17  0 24  3 22]",GA,200,0.5,200,0.5
12,1,1129.0621434434659,0.1662999490000061,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.6,200,0.6
13,2,1129.0621434434659,0.2640782940000008,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.6,200,0.6
14,4,1129.0621434434659,0.4539828039999918,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.6,200,0.6
15,8,1122.8780828572712,0.830370361000007,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 25 15]",GA,200,0.6,200,0.6
16,16,1064.156581207821,1.5753404740000008,"[19 29 21 30  7 28 27  4 17 15 25 23 14 20 13 26  6  8  2 16 31  9  1  3
 22 12 10 11 18 24  0  5]",GA,200,0.6,200,0.6
17,32,907.499703628975,3.07617845499999,"[31 12  1  4  9 23 14 21  7 20 13 26  6  8  2 30 15  3 28 11 10 19 27 24
 29 22 25  5  0 17 18 16]",GA,200,0.6,200,0.6
18,64,813.5508836334334,6.109716257999992,"[ 4  9 28 23  1 14 21  7 20 13 26  6  8 31  2 16 30 25 18 19 15  3 27 17
  5 24  0 22 11 12 29 10]",GA,200,0.6,200,0.6
19,128,672.4945398255622,12.180017196999984,"[ 4  9 28 23  1 14 12 29 21 11 20 13  7 26  6  8 31  2 30 16 18 19 27 25
 17  0 24  5 22 15  3 10]",GA,200,0.6,200,0.6
20,256,544.7174583893219,24.014946011999996,"[22 28  9 29 23  1 12  4 14 10 21 11 20 13  7 26  6  8 31  2 30 16 18 19
 27 25 17  5 24  0 15  3]",GA,200,0.6,200,0.6
21,512,525.4740362693824,47.62627555399999,"[ 3 22 23 28  9 29  4  1 12 14 10 21 11 20 13  7 26  6  8 31  2 30 16 18
 19 27 25 17  0 24  5 15]",GA,200,0.6,200,0.6
22,1024,498.8845611136141,95.19995003600002,"[ 3 22 23 28  9 29  4  1 12 14 10 21 11 20 13  7 30 26  6  8 31  2 16 18
 27 19 25 17  0 24  5 15]",GA,200,0.6,200,0.6
23,2048,498.8845611136141,190.23512891000001,"[ 3 22 23 28  9 29  4  1 12 14 10 21 11 20 13  7 30 26  6  8 31  2 16 18
 27 19 25 17  0 24  5 15]",GA,200,0.6,200,0.6
24,1,1129.0621434434659,0.16437791399999924,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.7,200,0.7
25,2,1129.0621434434659,0.2590687180000373,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.7,200,0.7
26,4,1129.0621434434659,0.4479258449999861,"[30 17 18  4 23 12 19 26  6  0 27  3 24 22  9 28  1 11  7 10 31  8 13 20
 21  5 29 14  2 16 15 25]",GA,200,0.7,200,0.7
27,8,1122.1181685735246,0.8223915479999846,"[20 21 18 30 23 15  5 25 19  0 27 12  2 17 24 31 16  8 13  7  1 14  4 28
  9 22  3 29  6 26 11 10]",GA,200,0.7,200,0.7
28,16,911.1514370132522,1.5600184059999833,"[20 21 13  7 30 27 14 26  6 31  8 12 10 17 25  5 18  3 22  2 16  0 19 24
 15  4 23  1 28  9 29 11]",GA,200,0.7,200,0.7
29,32,795.7726342967981,3.027190728999983,"[20 21 13  7 30 27 14 26  6 31  8 16  2 12 18 23 15  5 24 19  0 17 25  1
  4 28  9 22  3 29 10 11]",GA,200,0.7,200,0.7
30,64,717.0764645268513,5.971765775999984,"[20 13 21  7 10 30 27 18  0 19 12 14 26  6 31  8 16  2 17 25  5 22  3 15
 24  4  1  9 28 23 29 11]",GA,200,0.7,200,0.7
31,128,645.5081616915826,11.927179560000013,"[20 13 21  7 10 14 27 30 26  6 31  8 16  2 12 17 25 18 19  0  5 15 24  3
 22 29  4  1 23 28  9 11]",GA,200,0.7,200,0.7
32,256,589.7227267074285,23.78722901399999,"[20 13 21  7 10 14 27 30 26  6 31  8  2 16 18 19 25  0 24 17 15  5  3 22
 23 29 28  9  1 12  4 11]",GA,200,0.7,200,0.7
33,512,560.8766057078273,47.698737772000015,"[20 13 21  7 10 14 27 30 26  6  8 31  2 16 18 19 25 17  0  5 15 24  3 22
 23 29 28  9 12  1  4 11]",GA,200,0.7,200,0.7
34,1024,535.6779038331064,95.25871147200002,"[20 13 21  7 10 14 27 19 30 26  6  8 31  2 16 18 25 17  0 24  5 15  3 22
 28  9 29 23 12  1  4 11]",GA,200,0.7,200,0.7
35,2048,533.980798226553,190.814372321,"[ 4 11 20 13 21  7 10 14 27 19 30 26  6  8 31  2 16 18 25 17  0 24  5 15
  3 22 23 28  9 29 12  1]",GA,200,0.7,200,0.7
